Alumno[Nombre:  Numa Zaharie Guerrero Luna, Num. de Cuenta: 3210252, Edad: 27, Direccion: MIGUEL JACINTES, CIUDAD DE MEXICO, CIUDAD DE MEXICO,15500, Semestre: 10, Num. Inscripcion: 496],
Alumno[Nombre:  Urias Daler Ruiz Garcia, Num. de Cuenta: 3210253, Edad: 26, Direccion: CARRETERA SAN NICOLAS, AGUASCALIENTES, AGUASCALIENTES,20358, Semestre: 10, Num. Inscripcion: 360],
Alumno[Nombre:  Anhara Idelia Vargas Guerrero, Num. de Cuenta: 3210254, Edad: 26, Direccion: FRANCISCO I MADERO, CIUDAD DE MEXICO, CIUDAD DE MEXICO,16710, Semestre: 10, Num. Inscripcion: 364],
Alumno[Nombre:  Numa Tabara Juarez Estrada, Num. de Cuenta: 3230255, Edad: 22, Direccion: BLVD TEMOLUCO, CIUDAD DE MEXICO, CIUDAD DE MEXICO,7279, Semestre: 6, Num. Inscripcion: 290],
Alumno[Nombre:  KaraAnanda Ortega Alvarez, Num. de Cuenta: 3240256, Edad: 18, Direccion: NORTE 5, CIUDAD DE MEXICO, CIUDAD DE MEXICO,15530, Semestre: 3, Num. Inscripcion: 311],
Alumno[Nombre:  Xue Maela Juarez Castro, Num. de Cuenta: 3220257, Edad: 24, Direccion: ABASOLO, AGUASCALIENTES, AGUASCALIENTES,20240, Semestre: 8, Num. Inscripcion: 301],
Alumno[Nombre:  Vidar Alane Lopez Luna, Num. de Cuenta: 3250258, Edad: 19, Direccion: CALLE NOVENA, BAJA CALIFORNIA, BAJA CALIFORNIA,21226, Semestre: 1, Num. Inscripcion: 812],
Alumno[Nombre:  Hidaia Loira Garcia Hernandez, Num. de Cuenta: 3230259, Edad: 21, Direccion: UNO, CIUDAD DE MEXICO, CIUDAD DE MEXICO,8100, Semestre: 5, Num. Inscripcion: 359],
Alumno[Nombre:  Kara Hernandez Perez, Num. de Cuenta: 3220260, Edad: 26, Direccion: EMILIO CARRANZA, CIUDAD DE MEXICO, CIUDAD DE MEXICO,15530, Semestre: 7, Num. Inscripcion: 464],
Alumno[Nombre:  Alane Rojas Cruz, Num. de Cuenta: 3230261, Edad: 22, Direccion: CALZADA DE LA VIGA, CIUDAD DE MEXICO, CIUDAD DE MEXICO,6840, Semestre: 5, Num. Inscripcion: 441],
Alumno[Nombre:  Tonino Larabi Juarez Herrera, Num. de Cuenta: 3230262, Edad: 23, Direccion: INSURGENTES SUR, CIUDAD DE MEXICO, CIUDAD DE MEXICO,1388, Semestre: 5, Num. Inscripcion: 387],
Alumno[Nombre:  Fara Castillo Mendez, Num. de Cuenta: 3220263, Edad: 23, Direccion: CALZ HECTOR TERAN TERAN, BAJA CALIFORNIA, BAJA CALIFORNIA,21380, Semestre: 7, Num. Inscripcion: 499],
Alumno[Nombre:  Cleta Juarez Rodriguez, Num. de Cuenta: 3250264, Edad: 21, Direccion: PARMA ESQUINA CON TRIPOLI, BAJA CALIFORNIA, BAJA CALIFORNIA,22054, Semestre: 2, Num. Inscripcion: 338],
Alumno[Nombre:  Fara Contreras Contreras, Num. de Cuenta: 3210265, Edad: 25, Direccion: SOLEDAD, CIUDAD DE MEXICO, CIUDAD DE MEXICO,6010, Semestre: 10, Num. Inscripcion: 246],
Alumno[Nombre:  Cleta Mendez Gomez, Num. de Cuenta: 3210266, Edad: 24, Direccion: MERIDA, CIUDAD DE MEXICO, CIUDAD DE MEXICO,6700, Semestre: 9, Num. Inscripcion: 114],
Alumno[Nombre:  Rio Castillo Vargas, Num. de Cuenta: 3230267, Edad: 21, Direccion: AVENIDA FRONTERA, BAJA CALIFORNIA, BAJA CALIFORNIA,22010, Semestre: 5, Num. Inscripcion: 221],
Alumno[Nombre:  Levin Mendez Gutierrez, Num. de Cuenta: 3230268, Edad: 22, Direccion: CALZADA CUAUHTEMOC Y CALLE MIGUEL ALEMAN,CHIHUAHUA,CHIHUAHUA,31580, Semestre: 5, Num. Inscripcion: 264],
Alumno[Nombre:  Kui Munoz Gomez, Num. de Cuenta: 3250269, Edad: 18, Direccion: LIVERPOOOL 149, CIUDAD DE MEXICO, CIUDAD DE MEXICO,6600, Semestre: 1, Num. Inscripcion: 906],
Alumno[Nombre:  Ismain Jimenez Rodriguez, Num. de Cuenta: 3210270, Edad: 27, Direccion: BLVD DIAZ ORDAZ ESQ CON RANCHO JAUJA, BAJA CALIFORNIA, BAJA CALIFORNIA,22116, Semestre: 10, Num. Inscripcion: 309],
Alumno[Nombre:  Hidaia Sanchez Castillo, Num. de Cuenta: 3220271, Edad: 26, Direccion: AV 412, CIUDAD DE MEXICO, CIUDAD DE MEXICO,7918, Semestre: 8, Num. Inscripcion: 373],
Alumno[Nombre:  Imeda Juarez Moreno, Num. de Cuenta: 3240272, Edad: 21, Direccion: AVENIDA ABADES, BAJA CALIFORNIA, BAJA CALIFORNIA,21376, Semestre: 4, Num. Inscripcion: 388],
Alumno[Nombre:  Naysa Numa Jimenez Ruiz, Num. de Cuenta: 3230273, Edad: 22, Direccion: MELCHOR OCAMPO, CIUDAD DE MEXICO, CIUDAD DE MEXICO,11300, Semestre: 6, Num. Inscripcion: 387],
Alumno[Nombre:  Daler Moreno Santiago, Num. de Cuenta: 3240274, Edad: 19, Direccion: AV JUAN ESCUTIA, BAJA CALIFORNIA, BAJA CALIFORNIA,21240, Semestre: 3, Num. Inscripcion: 565],
Alumno[Nombre:  Eloa Perez Rivera, Num. de Cuenta: 3240275, Edad: 20, Direccion: RIO MAGDALENA, CIUDAD DE MEXICO, CIUDAD DE MEXICO,1090, Semestre: 4, Num. Inscripcion: 333],
Alumno[Nombre:  Vidar Garcia Mendoza, Num. de Cuenta: 3240276, Edad: 19, Direccion: ORIENTE 164, CIUDAD DE MEXICO, CIUDAD DE MEXICO,15530, Semestre: 3, Num. Inscripcion: 539],
Alumno[Nombre:  Kui Guzman Alvarez, Num. de Cuenta: 3220277, Edad: 25, Direccion: ZACATECAS, CIUDAD DE MEXICO, CIUDAD DE MEXICO,6700, Semestre: 7, Num. Inscripcion: 343],
Alumno[Nombre:  Sante Juarez Luna, Num. de Cuenta: 3220278, Edad: 25, Direccion: DEL TALLER RET 29, CIUDAD DE MEXICO, CIUDAD DE MEXICO,15900, Semestre: 8, Num. Inscripcion: 278],
Alumno[Nombre:  Elaya Gutierrez Perez, Num. de Cuenta: 3240279, Edad: 18, Direccion: FLORENCIO ANTILLANO, CIUDAD DE MEXICO, CIUDAD DE MEXICO,9100, Semestre: 3, Num. Inscripcion: 599],
Alumno[Nombre:  Maela Estrada Martinez, Num. de Cuenta: 3210280, Edad: 24, Direccion: AV MAHATMA GANDHI, AGUASCALIENTES, AGUASCALIENTES,20280, Semestre: 10, Num. Inscripcion: 359],
Alumno[Nombre:  Eloa Flores Rojas, Num. de Cuenta: 3210281, Edad: 26, Direccion: CARRETERA A NORIAS DE OJOCALIENTE, AGUASCALIENTES, AGUASCALIENTES,20196, Semestre: 10, Num. Inscripcion: 452],
Alumno[Nombre:  Tonino Herrera Vazquez, Num. de Cuenta: 3250282, Edad: 20, Direccion: AV VITO ALESSIO ROBLES, CIUDAD DE MEXICO, CIUDAD DE MEXICO,1030, Semestre: 2, Num. Inscripcion: 129],
Alumno[Nombre:  Vidar Rivera Velazquez, Num. de Cuenta: 3230283, Edad: 23, Direccion: CALLE 11, CIUDAD DE MEXICO, CIUDAD DE MEXICO,9850, Semestre: 6, Num. Inscripcion: 324],
Alumno[Nombre:  Lartaun Ramos Bautista, Num. de Cuenta: 3250284, Edad: 19, Direccion: SUR 81, CIUDAD DE MEXICO, CIUDAD DE MEXICO,15820, Semestre: 2, Num. Inscripcion: 468],
Alumno[Nombre:  SensenAnanda Martinez Dominguez, Num. de Cuenta: 3210285, Edad: 27, Direccion: LAURO GALVEZ,"	SONORA","	SONORA","	83280", Semestre: 9, Num. Inscripcion: 207],
Alumno[Nombre:  Naysa Garcia Aguilar, Num. de Cuenta: 3240286, Edad: 20, Direccion: CANAL DE MIRAMONTES, CIUDAD DE MEXICO, CIUDAD DE MEXICO,4460, Semestre: 4, Num. Inscripcion: 385],
Alumno[Nombre:  Sante Sanchez Bautista, Num. de Cuenta: 3240287, Edad: 19, Direccion: COBRE, CIUDAD DE MEXICO, CIUDAD DE MEXICO,6280, Semestre: 3, Num. Inscripcion: 491],
Alumno[Nombre:  Coco Vargas Gomez, Num. de Cuenta: 3230288, Edad: 22, Direccion: NEZAHUALCOYOTL, CIUDAD DE MEXICO, CIUDAD DE MEXICO,6080, Semestre: 6, Num. Inscripcion: 279],
Alumno[Nombre:  Madai Kui Rodriguez Rojas, Num. de Cuenta: 3240289, Edad: 21, Direccion: CENTENO, CIUDAD DE MEXICO, CIUDAD DE MEXICO,8400, Semestre: 4, Num. Inscripcion: 279],
Alumno[Nombre:  Alane Numa De la Cruz Estrada, Num. de Cuenta: 3240290, Edad: 21, Direccion: MORELOS, AGUASCALIENTES, AGUASCALIENTES,20000, Semestre: 3, Num. Inscripcion: 374],
Alumno[Nombre:  Hidaia Chavez Juarez, Num. de Cuenta: 3210291, Edad: 26, Direccion: BLVD DEL TEMOLUCO, CIUDAD DE MEXICO, CIUDAD DE MEXICO,7970, Semestre: 10, Num. Inscripcion: 323],
Alumno[Nombre:  Coco Guerrero Romero, Num. de Cuenta: 3220292, Edad: 24, Direccion: JAMES SULLIVAN, CIUDAD DE MEXICO, CIUDAD DE MEXICO,6470, Semestre: 8, Num. Inscripcion: 256],
Alumno[Nombre:  Sante Sensen Salazar Martinez, Num. de Cuenta: 3230293, Edad: 23, Direccion: 21, YUCATAN, YUCATAN,97312, Semestre: 5, Num. Inscripcion: 440],
Alumno[Nombre:  Aral Ortiz Rojas, Num. de Cuenta: 3240294, Edad: 18, Direccion: PAI PAI, BAJA CALIFORNIA, BAJA CALIFORNIA,21485, Semestre: 3, Num. Inscripcion: 460],
Alumno[Nombre:  Cleta Alvarez Gonzalez, Num. de Cuenta: 3250295, Edad: 19, Direccion: TLALPAN, CIUDAD DE MEXICO, CIUDAD DE MEXICO,4650, Semestre: 1, Num. Inscripcion: 921],
Alumno[Nombre:  Fara Sanchez Gomez, Num. de Cuenta: 3220296, Edad: 25, Direccion: EMILIO CARRANZA, CIUDAD DE MEXICO, CIUDAD DE MEXICO,15530, Semestre: 7, Num. Inscripcion: 330],
Alumno[Nombre:  Naraya Munoz Alvarez, Num. de Cuenta: 3230297, Edad: 22, Direccion: AV RIO CONSULADO, CIUDAD DE MEXICO, CIUDAD DE MEXICO,6240, Semestre: 6, Num. Inscripcion: 301],
Alumno[Nombre:  Ismain Santiago Guzman, Num. de Cuenta: 3230298, Edad: 23, Direccion: AV CENTENARIO, CIUDAD DE MEXICO, CIUDAD DE MEXICO,7040, Semestre: 6, Num. Inscripcion: 332],
Alumno[Nombre:  Numa Castro Dominguez, Num. de Cuenta: 3220299, Edad: 26, Direccion: AV MAHATMA GANDHI, AGUASCALIENTES, AGUASCALIENTES,20280, Semestre: 7, Num. Inscripcion: 236],
Alumno[Nombre:  Mamen Alvarez Ramos, Num. de Cuenta: 3230300, Edad: 23, Direccion: AV DEL VALLE, AGUASCALIENTES, AGUASCALIENTES,20326, Semestre: 6, Num. Inscripcion: 345],
Alumno[Nombre:  Kara Tabara Flores Ortiz, Num. de Cuenta: 3240301, Edad: 20, Direccion: ADOLFO DUCLO SALINAS, CIUDAD DE MEXICO, CIUDAD DE MEXICO,9140, Semestre: 3, Num. Inscripcion: 343],
Alumno[Nombre:  Aloe Vargas Ruiz, Num. de Cuenta: 3240302, Edad: 21, Direccion: AND 27 M SANCHEZ M E ZONA 10 CASA, CIUDAD DE MEXICO, CIUDAD DE MEXICO,4430, Semestre: 4, Num. Inscripcion: 309],
Alumno[Nombre:  Tabara Loira Ortega Gutierrez, Num. de Cuenta: 3230303, Edad: 22, Direccion: CHAPALA, AGUASCALIENTES, AGUASCALIENTES,20358, Semestre: 6, Num. Inscripcion: 362],
Alumno[Nombre:  Levin Sanchez Gomez, Num. de Cuenta: 3220304, Edad: 26, Direccion: BALDERAS, CIUDAD DE MEXICO, CIUDAD DE MEXICO,6040, Semestre: 8, Num. Inscripcion: 203],
Alumno[Nombre:  Tabara Sanchez Juarez, Num. de Cuenta: 3240305, Edad: 18, Direccion: MARGARITA MAZA DE JUAREZ, CIUDAD DE MEXICO, CIUDAD DE MEXICO,7700, Semestre: 3, Num. Inscripcion: 373],
Alumno[Nombre:  Arlena Junio Salazar Ramirez, Num. de Cuenta: 3220306, Edad: 24, Direccion: INDEPENDENCIA, AGUASCALIENTES, AGUASCALIENTES,20805, Semestre: 8, Num. Inscripcion: 207],
Alumno[Nombre:  Idelia Loira Ortiz Estrada, Num. de Cuenta: 3220307, Edad: 22, Direccion: GABINO BARREDA, CIUDAD DE MEXICO, CIUDAD DE MEXICO,6470, Semestre: 7, Num. Inscripcion: 398],
Alumno[Nombre:  Xue Salazar Rojas, Num. de Cuenta: 3210308, Edad: 27, Direccion: BLVD ENCINOS, BAJA CALIFORNIA, BAJA CALIFORNIA,21507, Semestre: 10, Num. Inscripcion: 187],
Alumno[Nombre:  Fara Romero Mendoza, Num. de Cuenta: 3240309, Edad: 19, Direccion: AV CONSTITUCION, AGUASCALIENTES, AGUASCALIENTES,20126, Semestre: 3, Num. Inscripcion: 359],
Alumno[Nombre:  Tonino Hernandez Velazquez, Num. de Cuenta: 3230310, Edad: 20, Direccion: PARCELA 21 Z1 P 1/1, MEXICO, MEXICO,55700, Semestre: 5, Num. Inscripcion: 526],
Alumno[Nombre:  Zaharie Castro De la Cruz, Num. de Cuenta: 3210311, Edad: 27, Direccion: TEPEHUANOS, CIUDAD DE MEXICO, CIUDAD DE MEXICO,14430, Semestre: 10, Num. Inscripcion: 436],
Alumno[Nombre:  Rio Reyes Rodriguez, Num. de Cuenta: 3220312, Edad: 26, Direccion: BLVD VUELO DEL QUETZAL, AGUASCALIENTES, AGUASCALIENTES,20355, Semestre: 8, Num. Inscripcion: 291],
Alumno[Nombre:  Cleta Munoz Rojas, Num. de Cuenta: 3220313, Edad: 24, Direccion: AV SAN JERONIMO, CIUDAD DE MEXICO, CIUDAD DE MEXICO,4500, Semestre: 7, Num. Inscripcion: 425],
Alumno[Nombre:  Naysa Mendoza Chavez, Num. de Cuenta: 3230314, Edad: 22, Direccion: AV ANGEL ALBINO CORSO, CIUDAD DE MEXICO, CIUDAD DE MEXICO,7939, Semestre: 5, Num. Inscripcion: 422],
Alumno[Nombre:  Sensen Ramos Diaz, Num. de Cuenta: 3220315, Edad: 24, Direccion: JESUS NOLASCO, CIUDAD DE MEXICO, CIUDAD DE MEXICO,9430, Semestre: 7, Num. Inscripcion: 285],
Alumno[Nombre:  Elimar Medina Hernandez, Num. de Cuenta: 3250316, Edad: 18, Direccion: ELIAS CALLES, AGUASCALIENTES, AGUASCALIENTES,20616, Semestre: 2, Num. Inscripcion: 741],
Alumno[Nombre:  Kara Romero Rojas, Num. de Cuenta: 3240317, Edad: 20, Direccion: CALLE HOMERO, JALISCO, JALISCO,44690, Semestre: 4, Num. Inscripcion: 448],
Alumno[Nombre:  Tabara Diaz Chavez, Num. de Cuenta: 3220318, Edad: 25, Direccion: BENJAMIN HILL, SINALOA, SINALOA,80189, Semestre: 8, Num. Inscripcion: 248],
Alumno[Nombre:  Nagai Veda Ruiz Gutierrez, Num. de Cuenta: 3210319, Edad: 25, Direccion: BLVD ANAHUAC, BAJA CALIFORNIA, BAJA CALIFORNIA,21355, Semestre: 9, Num. Inscripcion: 496],
Alumno[Nombre: Ananda Kara Diaz Ramos, Num. de Cuenta: 3220320, Edad: 23, Direccion: AV INSURGENTES SUR, CIUDAD DE MEXICO, CIUDAD DE MEXICO,14000, Semestre: 7, Num. Inscripcion: 205],
Alumno[Nombre: Aitara Zaharie Hernandez Ortega, Num. de Cuenta: 3220321, Edad: 26, Direccion: AV GUILLERMO PRIETO, CIUDAD DE MEXICO, CIUDAD DE MEXICO,13364, Semestre: 7, Num. Inscripcion: 477],
Alumno[Nombre:  Nagai Rivera Medina, Num. de Cuenta: 3250322, Edad: 18, Direccion: CALLE 11, CIUDAD DE MEXICO, CIUDAD DE MEXICO,9850, Semestre: 1, Num. Inscripcion: 942],
Alumno[Nombre:  Sensen Numa Romero Rivera, Num. de Cuenta: 3210323, Edad: 26, Direccion: AVENIDA TLAHUAC, CIUDAD DE MEXICO, CIUDAD DE MEXICO,9870, Semestre: 9, Num. Inscripcion: 401],
Alumno[Nombre:  Urias Mendoza Herrera, Num. de Cuenta: 3240324, Edad: 21, Direccion: AV 412, CIUDAD DE MEXICO, CIUDAD DE MEXICO,7918, Semestre: 3, Num. Inscripcion: 543],
Alumno[Nombre:  Kui Reyes Ruiz, Num. de Cuenta: 3220325, Edad: 27, Direccion: FRANCISCO IGNACIO MORAZAN, CIUDAD DE MEXICO, CIUDAD DE MEXICO,15000, Semestre: 7, Num. Inscripcion: 247],
Alumno[Nombre:  Levin Ruiz Rivera, Num. de Cuenta: 3210326, Edad: 25, Direccion: AV 20 DE NOVIEMBRE, BAJA CALIFORNIA, BAJA CALIFORNIA,22056, Semestre: 9, Num. Inscripcion: 226],
Alumno[Nombre:  Maela Bautista Sanchez, Num. de Cuenta: 3220327, Edad: 26, Direccion: AZTECAS MZ 104, CIUDAD DE MEXICO, CIUDAD DE MEXICO,4300, Semestre: 7, Num. Inscripcion: 291],
Alumno[Nombre:  Kalani Hernandez De la Cruz, Num. de Cuenta: 3220328, Edad: 23, Direccion: CUITLAHUAC, CIUDAD DE MEXICO, CIUDAD DE MEXICO,2600, Semestre: 7, Num. Inscripcion: 293],
Alumno[Nombre:  Eloa Aguilar Castro, Num. de Cuenta: 3220329, Edad: 26, Direccion: AV STIM, CIUDAD DE MEXICO, CIUDAD DE MEXICO,5530, Semestre: 7, Num. Inscripcion: 449],
Alumno[Nombre:  Tabara Vidar Rivera Perez, Num. de Cuenta: 3230330, Edad: 23, Direccion: CULTURAS PREHISPANICAS, CIUDAD DE MEXICO, CIUDAD DE MEXICO,9070, Semestre: 5, Num. Inscripcion: 432],
Alumno[Nombre:  Junio Rivera Moreno, Num. de Cuenta: 3240331, Edad: 19, Direccion: AVENIDA GRAELL, BAJA CALIFORNIA, BAJA CALIFORNIA,21395, Semestre: 3, Num. Inscripcion: 191],
Alumno[Nombre:  Kara Cruz Vazquez, Num. de Cuenta: 3230332, Edad: 22, Direccion: FRANCISCO I MADERO, CIUDAD DE MEXICO, CIUDAD DE MEXICO,16710, Semestre: 6, Num. Inscripcion: 247],
Alumno[Nombre:  Imeda Medina Castro, Num. de Cuenta: 3210333, Edad: 26, Direccion: AV IMPERIO,CHIHUAHUA,CHIHUAHUA,31183, Semestre: 10, Num. Inscripcion: 413],
Alumno[Nombre:  Seida Juarez Moreno, Num. de Cuenta: 3210334, Edad: 25, Direccion: AV 5 DE FEBRERO, MEXICO, MEXICO,56900, Semestre: 9, Num. Inscripcion: 358],
Alumno[Nombre:  Tonino Aguilar Guerrero, Num. de Cuenta: 3250335, Edad: 19, Direccion: AVEJERCITO TRIGARANTE, BAJA CALIFORNIA, BAJA CALIFORNIA,22116, Semestre: 2, Num. Inscripcion: 219],
Alumno[Nombre:  Numa Flores Vazquez, Num. de Cuenta: 3210336, Edad: 25, Direccion: CAMPESINOS, CIUDAD DE MEXICO, CIUDAD DE MEXICO,9810, Semestre: 9, Num. Inscripcion: 232],
Alumno[Nombre:  Idelia Imeda Reyes Luna, Num. de Cuenta: 3250337, Edad: 18, Direccion: GABINO BARREDA, CIUDAD DE MEXICO, CIUDAD DE MEXICO,6470, Semestre: 1, Num. Inscripcion: 780],
Alumno[Nombre:  Sensen Jimenez Alvarez, Num. de Cuenta: 3210338, Edad: 27, Direccion: AV FRANCISCO I MADERO, BAJA CALIFORNIA, BAJA CALIFORNIA,21100, Semestre: 9, Num. Inscripcion: 372],
Alumno[Nombre:  Tabara Rivera Martinez, Num. de Cuenta: 3230339, Edad: 22, Direccion: AVE BALCONES, BAJA CALIFORNIA, BAJA CALIFORNIA,22116, Semestre: 6, Num. Inscripcion: 312],
Alumno[Nombre:  Lartaun Loira Castro Luna, Num. de Cuenta: 3210340, Edad: 27, Direccion: BLVD TEMOLUCO, CIUDAD DE MEXICO, CIUDAD DE MEXICO,7279, Semestre: 10, Num. Inscripcion: 339],
Alumno[Nombre:  Mamen Dominguez Munoz, Num. de Cuenta: 3230341, Edad: 20, Direccion: LONDRES, CIUDAD DE MEXICO, CIUDAD DE MEXICO,4100, Semestre: 5, Num. Inscripcion: 465],
Alumno[Nombre:  Loira Medina Vazquez, Num. de Cuenta: 3230342, Edad: 22, Direccion: CALLE 9NA, BAJA CALIFORNIA, BAJA CALIFORNIA,21397, Semestre: 5, Num. Inscripcion: 163],
Alumno[Nombre:  Kui Vidar Morales Castro, Num. de Cuenta: 3210343, Edad: 24, Direccion: CALZADA DE TLALPAN, CIUDAD DE MEXICO, CIUDAD DE MEXICO,3590, Semestre: 10, Num. Inscripcion: 198],
Alumno[Nombre: AitaraAnanda Castro Guzman, Num. de Cuenta: 3220344, Edad: 25, Direccion: LAS MORERAS, BAJA CALIFORNIA, BAJA CALIFORNIA,22123, Semestre: 8, Num. Inscripcion: 330],
Alumno[Nombre:  Madai Dominguez Lopez, Num. de Cuenta: 3210345, Edad: 27, Direccion: AV INSURGENTES SUR, CIUDAD DE MEXICO, CIUDAD DE MEXICO,1020, Semestre: 10, Num. Inscripcion: 436],
Alumno[Nombre:  Eloa Anhara Romero Ruiz, Num. de Cuenta: 3220346, Edad: 25, Direccion: AV602, CIUDAD DE MEXICO, CIUDAD DE MEXICO,7970, Semestre: 7, Num. Inscripcion: 345],
Alumno[Nombre:  Elaya Ramirez Dominguez, Num. de Cuenta: 3240347, Edad: 20, Direccion: CALZADA ERMITA IZTAPALAPA, CIUDAD DE MEXICO, CIUDAD DE MEXICO,4230, Semestre: 3, Num. Inscripcion: 102],
Alumno[Nombre:  Levin Sensen Munoz Gomez, Num. de Cuenta: 3240348, Edad: 20, Direccion: JUAN DE LA BARRERA, CIUDAD DE MEXICO, CIUDAD DE MEXICO,9750, Semestre: 4, Num. Inscripcion: 308],
Alumno[Nombre:  Nieva Reyes Diaz, Num. de Cuenta: 3250349, Edad: 18, Direccion: AV MICHOACAN, CIUDAD DE MEXICO, CIUDAD DE MEXICO,9220, Semestre: 1, Num. Inscripcion: 650],
Alumno[Nombre:  Eloa Urias Dominguez Munoz, Num. de Cuenta: 3230350, Edad: 23, Direccion: CALZ VICENTE LOMBARDO TOLEDANO, BAJA CALIFORNIA, BAJA CALIFORNIA,21350, Semestre: 6, Num. Inscripcion: 316],
Alumno[Nombre:  Numa Lartaun Hernandez Castillo, Num. de Cuenta: 3240351, Edad: 20, Direccion: JUAREZ, CIUDAD DE MEXICO, CIUDAD DE MEXICO,10200, Semestre: 4, Num. Inscripcion: 123],
Alumno[Nombre:  Junio Guerrero Hernandez, Num. de Cuenta: 3250352, Edad: 18, Direccion: SALIDA A LORETO, AGUASCALIENTES, AGUASCALIENTES,20356, Semestre: 2, Num. Inscripcion: 373],
Alumno[Nombre:  Loira Naysa Romero Velazquez, Num. de Cuenta: 3230353, Edad: 22, Direccion: AV FRANCISCO MORAZAN ANTES AV 8, CIUDAD DE MEXICO, CIUDAD DE MEXICO,15000, Semestre: 5, Num. Inscripcion: 328],
Alumno[Nombre:  Eloa Ismain Munoz Ruiz, Num. de Cuenta: 3250354, Edad: 21, Direccion: ALHELI, AGUASCALIENTES, AGUASCALIENTES,20263, Semestre: 2, Num. Inscripcion: 342],
Alumno[Nombre:  Nieva Arlena Lopez Bautista, Num. de Cuenta: 3210355, Edad: 24, Direccion: ALLENDE, CIUDAD DE MEXICO, CIUDAD DE MEXICO,6010, Semestre: 9, Num. Inscripcion: 298],
Alumno[Nombre:  Urias Mendez Herrera, Num. de Cuenta: 3210356, Edad: 25, Direccion: PLUTARCO ELIAS CALLES, AGUASCALIENTES, AGUASCALIENTES,20670, Semestre: 9, Num. Inscripcion: 277],
Alumno[Nombre:  Cleta Tabara Luna Castro, Num. de Cuenta: 3240357, Edad: 20, Direccion: ARTILLERO MIER, AGUASCALIENTES, AGUASCALIENTES,20140, Semestre: 4, Num. Inscripcion: 572],
Alumno[Nombre: Aitara Sensen Velazquez Chavez, Num. de Cuenta: 3220358, Edad: 25, Direccion: PORFIRIO DIAZ, COAHUILA, COAHUILA,25640, Semestre: 7, Num. Inscripcion: 279],
Alumno[Nombre:  Naysa Rodriguez Martinez, Num. de Cuenta: 3240359, Edad: 22, Direccion: NEZAHUALCOYOTL, CIUDAD DE MEXICO, CIUDAD DE MEXICO,6080, Semestre: 4, Num. Inscripcion: 212],
Alumno[Nombre:  Sensen Aguilar Ruiz, Num. de Cuenta: 3240360, Edad: 20, Direccion: DAKOTA, CIUDAD DE MEXICO, CIUDAD DE MEXICO,3810, Semestre: 3, Num. Inscripcion: 337],
Alumno[Nombre:  Vidar Alvarez Santiago, Num. de Cuenta: 3240361, Edad: 21, Direccion: XOCHITL, HIDALGO, HIDALGO,43696, Semestre: 4, Num. Inscripcion: 195],
Alumno[Nombre:  Numa Urias Sanchez Diaz, Num. de Cuenta: 3210362, Edad: 24, Direccion: ESCUELA MEDICO MILITAR, CIUDAD DE MEXICO, CIUDAD DE MEXICO,6090, Semestre: 10, Num. Inscripcion: 256],
Alumno[Nombre:  Eloa Anhara Gomez Aguilar, Num. de Cuenta: 3220363, Edad: 24, Direccion: AV ANGEL ALBINO CORSO, CIUDAD DE MEXICO, CIUDAD DE MEXICO,7939, Semestre: 7, Num. Inscripcion: 254],
Alumno[Nombre:  Naraya Luna Munoz, Num. de Cuenta: 3220364, Edad: 22, Direccion: CALLE 9, SONORA, SONORA,83480, Semestre: 7, Num. Inscripcion: 362],
Alumno[Nombre:  Nagai Haruka Guzman Gutierrez, Num. de Cuenta: 3220365, Edad: 24, Direccion: AV MARINA NACIONAL, CIUDAD DE MEXICO, CIUDAD DE MEXICO,11410, Semestre: 8, Num. Inscripcion: 455],
Alumno[Nombre:  Nagai Gutierrez Jimenez, Num. de Cuenta: 3240366, Edad: 19, Direccion: AV TAXQUEÑA, CIUDAD DE MEXICO, CIUDAD DE MEXICO,9800, Semestre: 3, Num. Inscripcion: 201],
Alumno[Nombre: Aitara Ortiz Perez, Num. de Cuenta: 3220367, Edad: 26, Direccion: ARMANDO FIERRO, BAJA CALIFORNIA, BAJA CALIFORNIA,21910, Semestre: 7, Num. Inscripcion: 375],
Alumno[Nombre:  Madai Velazquez Castro, Num. de Cuenta: 3230368, Edad: 21, Direccion: ANCONITANOS, CIUDAD DE MEXICO, CIUDAD DE MEXICO,1160, Semestre: 5, Num. Inscripcion: 242],
Alumno[Nombre:  Zaharie Estrada Munoz, Num. de Cuenta: 3220369, Edad: 26, Direccion: AV MIGUEL HIDALGO, CIUDAD DE MEXICO, CIUDAD DE MEXICO,14700, Semestre: 7, Num. Inscripcion: 237],
Alumno[Nombre:  Seida Castillo Vargas, Num. de Cuenta: 3240370, Edad: 18, Direccion: CALZADA DE TLALPAN, CIUDAD DE MEXICO, CIUDAD DE MEXICO,14000, Semestre: 3, Num. Inscripcion: 550],
Alumno[Nombre:  Tabara Numa Juarez Jimenez, Num. de Cuenta: 3230371, Edad: 20, Direccion: VENTURA G TENA, CIUDAD DE MEXICO, CIUDAD DE MEXICO,6850, Semestre: 5, Num. Inscripcion: 324],
Alumno[Nombre:  Nagai Moreno Ramirez, Num. de Cuenta: 3220372, Edad: 26, Direccion: EJE 3 NORTE SAN ISIDRO, CIUDAD DE MEXICO, CIUDAD DE MEXICO,2710, Semestre: 8, Num. Inscripcion: 342],
